,path,label
0,/content/drive/MyDrive/Bosch/New Dataset/00003/00022_00000.jpg,3
1,/content/drive/MyDrive/Bosch/New Dataset/00003/00027_00012.jpg,3
2,/content/drive/MyDrive/Bosch/New Dataset/00003/00027_00025.jpg,3
3,/content/drive/MyDrive/Bosch/New Dataset/00003/00020_00002.jpg,3
4,/content/drive/MyDrive/Bosch/New Dataset/00003/00022_00012.jpg,3
5,/content/drive/MyDrive/Bosch/New Dataset/00003/00027_00022.jpg,3
6,/content/drive/MyDrive/Bosch/New Dataset/00003/00020_00008.jpg,3
7,/content/drive/MyDrive/Bosch/New Dataset/00003/00024_00000.jpg,3
8,/content/drive/MyDrive/Bosch/New Dataset/00003/00029_00012.jpg,3
9,/content/drive/MyDrive/Bosch/New Dataset/00003/00026_00008.jpg,3
10,/content/drive/MyDrive/Bosch/New Dataset/00003/00028_00028.jpg,3
11,/content/drive/MyDrive/Bosch/New Dataset/00003/00031_00004.jpg,3
12,/content/drive/MyDrive/Bosch/New Dataset/00003/00028_00014.jpg,3
13,/content/drive/MyDrive/Bosch/New Dataset/00003/00029_00022.jpg,3
14,/content/drive/MyDrive/Bosch/New Dataset/00003/00031_00019.jpg,3
15,/content/drive/MyDrive/Bosch/New Dataset/00003/00020_00018.jpg,3
16,/content/drive/MyDrive/Bosch/New Dataset/00003/00031_00015.jpg,3
17,/content/drive/MyDrive/Bosch/New Dataset/00003/00026_00011.jpg,3
18,/content/drive/MyDrive/Bosch/New Dataset/00003/00025_00027.jpg,3
19,/content/drive/MyDrive/Bosch/New Dataset/00003/00030_00015.jpg,3
20,/content/drive/MyDrive/Bosch/New Dataset/00003/00019_00014.jpg,3
21,/content/drive/MyDrive/Bosch/New Dataset/00003/00026_00001.jpg,3
22,/content/drive/MyDrive/Bosch/New Dataset/00003/00024_00013.jpg,3
23,/content/drive/MyDrive/Bosch/New Dataset/00003/00028_00001.jpg,3
24,/content/drive/MyDrive/Bosch/New Dataset/00003/00022_00023.jpg,3
